country_code,country,education_expenditure
PRY,Paraguay,3.48983027194334
PNG,Papua New Guinea,0.761761143914634
PAN,Panama,3.28122011579173
PLW,Palau,
PAK,Pakistan,2.21492004394531
OMN,Oman,5.06363010406494
NOR,Norway,7.8645601272583
MNP,Northern Mariana Islands,
MKD,North Macedonia,
NGA,Nigeria,0.358479005206684
NER,Niger,3.53358621816013
NIC,Nicaragua,4.59991969121332
NZL,New Zealand,5.17797994613647
NCL,New Caledonia,
NLD,Netherlands,5.0559401512146
NPL,Nepal,3.89212886881753
NRU,Nauru,5.71828171428571
NAM,Namibia,9.32253195522987
MMR,Myanmar,1.99976003170013
MOZ,Mozambique,5.99969523584354
MAR,Morocco,5.0032567210502
MNE,Montenegro,
MNG,Mongolia,
MCO,Monaco,1.15896999835968
MDA,Moldova,6.22576999664307
FSM,"Micronesia, Fed. Sts.",10.6931682741117
MEX,Mexico,
MUS,Mauritius,4.54195022583008
MRT,Mauritania,1.82317996025085
MHL,Marshall Islands,9.88208961486816
MLT,Malta,4.79941987991333
MLI,Mali,3.55504989624023
MDV,Maldives,4.12356944795488
MYS,Malaysia,4.15776014328003
MWI,Malawi,
MDG,Madagascar,3.01338389897728
MAC,"Macao SAR, China",3.0654399394989
LUX,Luxembourg,3.73606991767883
LTU,Lithuania,3.9415500164032
LIE,Liechtenstein,
LBY,Libya,
LBR,Liberia,2.16508193926132
LSO,Lesotho,
LBN,Lebanon,2.51957250612723
LVA,Latvia,4.58675003051758
LAO,Lao PDR,2.12201393748998
KGZ,Kyrgyz Republic,5.08025979995728
KWT,Kuwait,6.72789551402991
XKX,Kosovo,
KOR,"Korea, Rep.",4.68465995788574
PRK,"Korea, Dem. People's Rep.",
KIR,Kiribati,14.5197413461539
KEN,Kenya,5.37359210998097
KAZ,Kazakhstan,2.8569700717926
JOR,Jordan,2.98846006393433
JPN,Japan,3.15533995628357
JAM,Jamaica,5.16364002227783
ITA,Italy,4.07843017578125
ISR,Israel,6.08409023284912
IMN,Isle of Man,
IRL,Ireland,3.22984004020691
IRQ,Iraq,
IRN,"Iran, Islamic Rep.",3.24005007743835
IDN,Indonesia,0.964399077622927
IND,India,3.89732003211975
ISL,Iceland,7.60129976272583
HUN,Hungary,4.22488021850586
HKG,"Hong Kong SAR, China",3.81017994880676
HND,Honduras,5.98198266311593
HTI,Haiti,1.08414978067408
GUY,Guyana,
GNB,Guinea-Bissau,
GIN,Guinea,1.85812997817993
GTM,Guatemala,3.19297003746033
GUM,Guam,
GRD,Grenada,
GRL,Greenland,
GRC,Greece,3.55062007904053
GIB,Gibraltar,
GHA,Ghana,3.15307114842573
DEU,Germany,5.02757978439331
GEO,Georgia,3.82985997200012
GMB,"Gambia, The",2.80809703332656
GAB,Gabon,2.87430983233369
PYF,French Polynesia,
FRA,France,5.36638021469116
FIN,Finland,6.45300006866455
FJI,Fiji,5.15273175975853
FRO,Faroe Islands,
ETH,Ethiopia,4.48086946127054
SWZ,Eswatini,5.69914824136892
EST,Estonia,5.16415023803711
ERI,Eritrea,
GNQ,Equatorial Guinea,
SLV,El Salvador,3.38710999488831
EGY,"Egypt, Arab Rep.",
ECU,Ecuador,4.2457799911499
DOM,Dominican Republic,4.04276873126053
DMA,Dominica,5.53449010848999
DJI,Djibouti,
DNK,Denmark,7.27587985992432
CZE,Czechia,4.46737003326416
CYP,Cyprus,5.16293001174927
CUW,Curacao,5.81155632881729
CUB,Cuba,9.04700486137163
HRV,Croatia,3.94555997848511
CIV,Cote d'Ivoire,3.4130699634552
CRI,Costa Rica,6.73808002471924
COG,"Congo, Rep.",3.24716413970868
COD,"Congo, Dem. Rep.",
COM,Comoros,
COL,Colombia,4.51069021224976
CHN,China,
CHL,Chile,5.62630987167358
CHI,Channel Islands,
TCD,Chad,2.37245795383591
CAF,Central African Republic,1.76792074637361
CYM,Cayman Islands,1.13670003414154
CAN,Canada,4.77293014526367
CMR,Cameroon,3.0473994932468
KHM,Cambodia,2.13345387893978
CPV,Cabo Verde,4.16529989242554
BDI,Burundi,5.34668445378401
BFA,Burkina Faso,5.45615632520251
BGR,Bulgaria,4.21429014205933
BRN,Brunei Darussalam,
VGB,British Virgin Islands,2.50096988677979
BRA,Brazil,5.96346998214722
BWA,Botswana,8.3989966033446
BIH,Bosnia and Herzegovina,4.04449987411499
BOL,Bolivia,8.09103965759277
BTN,Bhutan,4.50982783818663
BMU,Bermuda,1.92679827239971
BEN,Benin,2.73204741460628
BLZ,Belize,5.96377992630005
BEL,Belgium,6.32381010055542
BLR,Belarus,4.97948980331421
BRB,Barbados,3.72228002548218
BGD,Bangladesh,1.13094997406006
BHR,Bahrain,2.11146982812491
BHS,"Bahamas, The",2.62573176503127
AZE,Azerbaijan,3.1764600276947
AUT,Austria,5.23678016662598
AUS,Australia,
ABW,Aruba,4.43503686776957
ARM,Armenia,2.15984239839771
ARG,Argentina,4.7716498374939
ATG,Antigua and Barbuda,3.35725653382563
AGO,Angola,2.07306438181603
AND,Andorra,3.15060997009277
ASM,American Samoa,
DZA,Algeria,5.57536563446523
ALB,Albania,3.87018990516663
AFG,Afghanistan,
WLD,World,4.15776014328003
UMC,Upper middle income,4.04363430268776
TSS,Sub-Saharan Africa (IDA & IBRD countries),3.4130699634552
SSA,Sub-Saharan Africa (excluding high income),3.33011705158194
SSF,Sub-Saharan Africa,3.4130699634552
TSA,South Asia (IDA & IBRD),3.89212886881753
SAS,South Asia,3.89212886881753
SST,Small states,4.85244011878967
PRE,Pre-demographic dividend,3.24716413970868
PST,Post-demographic dividend,4.94613003730774
PSS,Pacific island small states,
OSS,Other small states,5.16293001174927
OED,OECD members,4.94613003730774
INX,Not classified,
NAC,North America,4.86520004272461
MIC,Middle income,3.82985997200012
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",3.24005007743835
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",
MEA,"Middle East, North Africa, Afghanistan & Pakistan",3.86020994186401
LMC,Lower middle income,3.40748649142134
LIC,Low income,3.23821222605582
LMY,Low & middle income,3.57594314256335
LDC,Least developed countries: UN classification,2.91074046615192
TLA,Latin America & the Caribbean (IDA & IBRD countries),4.51069021224976
LAC,Latin America & Caribbean (excluding high income),4.51069021224976
LCN,Latin America & Caribbean,4.51069021224976
LTE,Late-demographic dividend,4.26779985427856
IDA,IDA total,3.24716413970868
IDX,IDA only,3.23821222605582
IDB,IDA blend,3.33011705158194
IBT,IDA & IBRD total,3.75902209369218
IBD,IBRD only,3.94555997848511
HIC,High income,4.62793493270874
HPC,Heavily indebted poor countries (HIPC),3.33011705158194
FCS,Fragile and conflict affected situations,3.14728181647774
EUU,European Union,4.62736988067627
TEC,Europe & Central Asia (IDA & IBRD countries),3.99502992630005
ECA,Europe & Central Asia (excluding high income),4.04449987411499
ECS,Europe & Central Asia,4.60705995559693
EMU,Euro area,4.78116011619568
TEA,East Asia & Pacific (IDA & IBRD countries),2.5778339953863
EAP,East Asia & Pacific (excluding high income),2.5778339953863
EAS,East Asia & Pacific,3.08499832693462
EAR,Early-demographic dividend,3.48983027194334
CEB,Central Europe and the Baltics,4.26779985427856
CSS,Caribbean small states,3.55386116245268
ARB,Arab World,3.42433500289917
AFW,Africa Western and Central,3.0473994932468
AFE,Africa Eastern and Southern,4.51140984355031
